Number; Misorientation x; Relative Distance x; Misorientation y; Relative Distance y
; ; ; 1.41555; 17.3206
; ; ; 0.741249; 26.1409
; ; ; 0.857293; 95.3914
; ; ; 0.880267; 25.755
; ; ; 0.832277; 17.315
; ; ; 0.994653; 17.316
; ; ; 0.78783; 181.933
13; ; ; ;
; 0.751734; 10.0; 0.72145; 78.1026
; 0.856837; 35.8257; 1.8393; 34.5914
; 0.704989; 220.4453; 4.61304; 34.615
; 0.993866; 75.489; 2.39146; 25.896
; 0.758988; 29.858; 1.74294; 52.184
; 1.55846; 85.438; 1.35306; 17.304
; 0.844415; 19.914; 0.963068; 51.925
; 0.756922; 15.777; 2.47243; 138.51
; 0.764639; 59.702; 0.778335; 103.901
; 0.893505; 236.411; 1.24207; 104.142
; 1.73031; 39.814; 0.703322; 17.312
; 0.760018; 9.956; 0.907413; 17.313
; 0.783347; 25.719; 0.937117; 25.845
; 1.05202; 59.718; 1.2449; 17.317
; 1.29119; 15.773; 0.915143; 17.317
; 0.844415; 75.49; 0.902223; 17.316
; 0.782847; 105.34; 0.751734; 17.318
; ; ; 3.24003; 26.085
; ; ; 2.52956; 17.316
; ; ; 0.77329; 26.107
; ; ; 0.914288; 34.626
; ; ; 0.736482; 86.57
; ; ; 0.711069; 34.63
; ; ; 0.780845; 25.867
; ; ; 2.292; 17.55
; ; ; 1.01414; 25.84
; ; ; 0.706098; 26.1
; ; ; 2.26244; 34.63
; ; ; 1.93229; 17.32
; ; ; 0.938786; 25.85
; ; ; 0.7913; 26.09
; ; ; 0.94626; 25.86
; ; ; 0.931252; 86.82
; ; ; 1.0468; 43.16
; ; ; 0.823295; 17.32
; ; ; 0.77329; 60.72
; ; ; 0.763102; 17.32
14; ; ; ;
; 0.813732; 115.326; 0.76974; 166.433
; 0.726316; 245.09; 0.770248; 96.436
; 0.731684; 29.968; 0.79623; 95.041
; 0.894381; 19.982; 1.13987; 52.821
; 0.735419; 99.928; 0.77934; 244.326
; 0.785343; 15.348; 0.727393; 35.667
; 0.703878; 189.83; 0.956544; 43.578
; 0.759503; 45.317; 1.03401; 52.845
; 0.787333; 19.98; 0.76515; 60.733
15; ; ; ;
; 0.774302; 10.0; 0.996619; 17.3206
; 0.963474; 95.357; 1.17935; 18.735
; 0.92535; 135.267; 0.812288; 113.2764
; ; ; 0.903523; 9.413
; ; ; 0.724698; 62.388
; ; ; 0.799174; 16.985
; ; ; 0.79031; 52.915

; 0.97799722556391; 83.27429323308264; 1.0152003989637306; 71.80715544041443
