Number; Misorientation x; Relative Distance x; Misorientation y; Relative Distance y
1; ; ; ;
; 0.9915; 20.0; 0.894381; 51.9615
; 0.769231; 20.0; 0.712169; 26.141
; 0.75537; 50.0; 0.752775; 95.1025
; 0.89613; 175.141; 0.829451; 156.037
; 0.716005; 29.986; 0.807456; 17.312
; 0.725777; 39.985; 0.713267; 43.189
; 1.0438; 15.316; ; 
; 0.92196; 19.977; ; 
; 0.995833; 109.907; ; 
2; ; ; ;
; 0.834625; 10.0; 0.943776; 43.589
; 0.730614; 20.0; 0.887352; 77.655
; 0.742304; 20.0; 0.849497; 34.961
; 0.791794; 85.277; 0.99229; 77.675
; 3.33941; 119.87; 1.84949; 17.317
; 0.798194; 145.228; 0.851338; 69.583
; 0.726316; 175.212; 0.810841; 86.528
; 0.954086; 19.98; 0.928727; 43.469
; 0.772278; 165.222; 1.36315; 17.304
; 0.748604; 115.282; 0.834625; 60.786
; 0.714911; 179.819; 0.735419; 277.297
; 0.747558; 185.2; 0.742831; 415.756
; 0.754333; 15.37; 1.24458; 338.08
; 0.839301; 370.41; 0.942946; 26.16
; 1.15386; 29.96; 0.880267; 17.31
; 1.4783; 69.93; 0.843951; 17.3
; 3.11395; 39.96; 0.92957; 17.31
; 0.730078; 185.2; 1.01066; 112.69
; 3.72289; 165.22; 2.4201; 130.0
; 1.03552; 29.97; 1.5856; 69.23
; 0.772784; 105.29; 0.703322; 86.93
; 0.716005; 59.94; 1.18234; 130.0
; 0.87133; 29.97; 0.981583; 25.76
; 1.02067; 105.28; 0.917279; 51.93
; 0.806971; 115.28; 1.61737; 26.15
; 0.904389; 9.99; 0.727931; 51.92
; 1.01027; 9.99; 0.813732; 69.23
; ; ; 0.702765; 52.32
; ; ; 0.926618; 86.53
; ; ; 0.837434; 51.92
; ; ; 0.714364; 17.31
; ; ; 1.00015; 17.31
; ; ; 0.958588; 43.46
; ; ; 1.0453; 130.0
; ; ; 1.1525; 95.39
; ; ; 1.09611; 17.3
; ; ; 0.937952; 130.0
; ; ; 0.766683; 199.23
; ; ; 1.45858; 17.31
; ; ; 0.704989; 78.08
; ; ; 0.725237; 69.23
; ; ; 0.732753; 86.93
; ; ; 1.87095; 277.3
; ; ; 0.829451; 51.92
