Number, Misorientation x, Relative Distance x, Misorientation y, Relative Distance y
2, , , ,
, 1.39746, 60.0, 0.835563, 69.282
, 1.38197, 205.141, 1.47273, 60.718
, 0.864114, 19.991, 0.702208, 25.885
, 0.710518, 179.949, 1.46607, 43.364
, 1.72101, 95.187, 0.809876, 510.962
, 2.96068, 89.963, 1.37373, 69.276
, 0.792782, 89.972, 1.25928, 17.319
, 3.38611, 79.98, 0.704989, 86.597
, 1.16264, 65.198, 0.963068, 51.958
, 1.61253, 249.919, 0.861392, 26.044
, 0.870431, 45.21, 0.723076, 112.655
, 0.816133, 9.99, 0.859118, 34.63
, 0.780344, 79.97, 1.20138, 51.96
, 0.734886, 39.99, 1.08966, 86.59
, 0.736482, 19.99, 1.01799, 17.32
, , , 1.09896, 60.54
, , , 0.789319, 17.32
, , , 0.704434, 17.32
, , , 1.73866, 43.36
, , , 0.906118, 60.7
, , , 1.03098, 69.27
, , , 0.706652, 17.32
, , , 0.711069, 17.32
, , , 2.3585, 112.5
, , , 0.9915, 69.28
, , , 0.902657, 60.68
, , , 1.17002, 34.63
, , , 0.800153, 17.32
, , , 0.800642, 43.37
, , , 1.62991, 34.64
, , , 0.821391, 17.32
, , , 0.897875, 17.32
, , , 0.731684, 121.23
, , , 1.50454, 25.91
, , , 0.910427, 17.32
, , , 2.33967, 60.68
, , , 3.15169, 95.32
, , , 1.03929, 25.91
, , , 0.720908, 26.05
, , , 0.89613, 86.59
, , , 0.703322, 69.28
, , , 1.27626, 43.37
, , , 1.66389, 43.22
, , , 1.784, 17.32
, , , 1.15792, 17.32
, , , 0.897875, 17.32
, , , 1.02717, 26.05
, , , 1.37686, 17.32
, , , 1.31284, 17.32
, , , 0.86818, 17.31
, , , 1.17902, 86.6
, , , 1.09896, 17.32
, , , 0.765662, 34.63
, , , 1.55771, 60.69
, , , 0.708312, 233.74
, , , 0.702208, 43.36
, , , 3.21686, 86.59
, , , 1.22301, 103.92
, , , 0.735419, 138.55
, , , 1.36085, 34.64
, , , 0.80113, 17.46
, , , 4.11866, 181.77
, , , 4.02769, 26.05
, , , 4.76781, 17.32
3, , , ,
